,Wallet,sc,sdc,tc,tdc,mc,bmdc,tmdc,Wallet Centrality
0,0x0afd7eddde20542783a64302ce47426fbe497feb,0.00242914979757084,0.4,0.0,0.0,0.0,0.0,0.0,0.4024291497975709
1,0xbc26b49572512da9e81f358c1218780a57922ed8,0.00121457489878542,0.4,0.0,0.0,0.0,0.0,0.0,0.4012145748987854
2,0x92630d4c22b8d2232ac11c0ad713051654ee9e3a,0.00485829959514168,0.25,0.0,0.0,0.0,0.0,0.0,0.25485829959514167
3,0x272f6806da025b58bebbbbb1edea01bd6cff45e7,0.00242914979757084,0.2,0.0,0.0,0.0,0.0,0.0,0.20242914979757085
4,0x5628a6b42db55cdf8d051780e568a232ee6d4cdc,0.00242914979757084,0.4,0.0,0.0,0.0,0.0,0.0,0.4024291497975709
5,0x81e47ec85e310c75c247a861fed5cc9d8ddf990c,0.0145748987854251,0.2,0.0,0.0,0.0,0.0,0.0,0.2145748987854251
6,0xd6ffc26607a60a0c5383533fd53f7c47c26d62d4,0.00121457489878542,0.4,0.0,0.0,0.0,0.0,0.0,0.4012145748987854
7,0xf9191d825176ec2c2de372513237674a24c3c493,0.00121457489878542,0.4,0.0,0.0,0.0,0.0,0.0,0.4012145748987854
8,0xe9152513460852c422a07b824c5f94ba88125e93,0.00121457489878542,0.4,0.0,0.0,0.0,0.0,0.0,0.4012145748987854
9,0xcdb549d3c5cbe0ffbb838e67529bf6cbffa75fe1,0.1906882591093117,0.17073309262039027,0.0,0.0,0.0,0.0,0.0,0.36142135172970197
10,0xea6ba72a8a43fc22b49a09614f36bb0de20e92c4,0.00485829959514168,0.4,0.0,0.0,0.0,0.0,0.0,0.4048582995951417
11,0x07635410cd191e91395ef54c28ab776848fd8de3,0.00121457489878542,0.4,0.0,0.0,0.0,0.0,0.0,0.4012145748987854
12,0x620dff5fa36f9305da7a70af0a532bc1fb630a4d,0.00121457489878542,0.4,0.0,0.0,0.0,0.0,0.0,0.4012145748987854
13,0x05406d6aad576ecf16db3474a42fb745a40c088d,0.00850202429149794,0.20408163265306123,0.0,0.0,0.0,0.0,0.0,0.21258365694455916
14,0x2b42affd4b7c14d9b7c2579229495c052672ccd3,0.6,0.25019915094494255,0.0,0.0,0.0,0.0,0.0,0.8501991509449425
15,0x29a0564b6302a82b4cb5a5f3783acb14fe022adf,0.00121457489878542,0.4,0.0,0.0,0.0,0.0,0.0,0.4012145748987854
16,0x90800352e57a3e8f5d116468b55c0f1553ea6f4a,0.00121457489878542,0.4,0.0,0.0,0.0,0.0,0.0,0.4012145748987854
17,0x7d04aedc19aaeed47ccd1f27834d4e831861c838,0.0060728744939270995,0.4,0.0,0.0,0.0,0.0,0.0,0.40607287449392715
18,0xb41c41a96cf9e1c468e24b8d913df8e109175f40,0.00485829959514168,0.4,0.0,0.0,0.0,0.0,0.0,0.4048582995951417
19,0x718ddaf9e38505ce9b8777cbcacc10979c5dc269,0.00242914979757084,0.4,0.0,0.0,0.0,0.0,0.0,0.4024291497975709
20,0xac5ab2a4c76434206a7269dd1bc770d4eb3c96b4,0.00242914979757084,0.4,0.0,0.0,0.0,0.0,0.0,0.4024291497975709
21,0xa978fb9e9ed41a2359d302f3e0c433e3eb187f4c,0.00728744939271252,0.2888888888888889,0.0,0.0,0.0,0.0,0.0,0.29617633828160145
22,0xec1dfef35da5504bdb035be295e6d3d5f1552da0,0.00121457489878542,0.4,0.0,0.0,0.0,0.0,0.0,0.4012145748987854
23,0x77047677b341ff3724af069026ed1d149d2ddedc,0.0206477732793522,0.2837370242214533,0.0,0.0,0.0,0.0,0.0,0.3043847975008055
24,0x9a98c687a3623b280fdcd2a0dac40ab45f07fe6d,0.00485829959514168,0.15000000000000002,0.0,0.0,0.0,0.0,0.0,0.1548582995951417
25,0x8537307810fc40f4073a12a38554d4ff78efff41,0.574493927125506,0.16035650273321742,0.0,0.0,0.0,0.0,0.0,0.7348504298587234
26,0xfdd78b2bef963f491ece6ab51f86141083a235e4,0.00121457489878542,0.4,0.0,0.0,0.0,0.0,0.0,0.4012145748987854
27,0x06bec9e10eb9253b114a1a38b99f31c9184c317f,0.00485829959514168,0.2,0.0,0.0,0.0,0.0,0.0,0.20485829959514168
28,0x15ba9d87ace05adf00d4b8ff17b3472d0a4052b0,0.0060728744939270995,0.144,0.0,0.0,0.0,0.0,0.0,0.1500728744939271
29,0x4fc126b084fd491cf417c306717019e9c0d6d087,0.00121457489878542,0.4,0.0,0.0,0.0,0.0,0.0,0.4012145748987854
