,Addresses,Token,Blockchain_1,Blockchain_2,Blockchain_3,TxID_1,TxID_2
0,0xcdb549d3c5cbe0ffbb838e67529bf6cbffa75fe1,USDC,Fantom,BNB CHAIN,Fantom,620fbf2711d45e0a49670b6d,620fccbf11d45e0a49671096
1,0xcdb549d3c5cbe0ffbb838e67529bf6cbffa75fe1,BIFI,BNB CHAIN,Fantom,BNB CHAIN,621230c211d45e0a4968745d,6212528c9e1cf703a57a72d8
2,0xcdb549d3c5cbe0ffbb838e67529bf6cbffa75fe1,BIFI,Fantom,BNB CHAIN,Polygon,6212528c9e1cf703a57a72d8,6212569e11d45e0a49688f03
3,0xcdb549d3c5cbe0ffbb838e67529bf6cbffa75fe1,ALPACA,BNB CHAIN,Fantom,BNB CHAIN,620f712811d45e0a4966f298,620f801311d45e0a4966f70a
4,0xcdb549d3c5cbe0ffbb838e67529bf6cbffa75fe1,ALPACA,Fantom,BNB CHAIN,Fantom,620f801311d45e0a4966f70a,620f866a11d45e0a4966f875
5,0xcdb549d3c5cbe0ffbb838e67529bf6cbffa75fe1,WOO,BNB CHAIN,Fantom,BNB CHAIN,62125d5811d45e0a4968927e,6212638011d45e0a496893f9
6,0x2b42affd4b7c14d9b7c2579229495c052672ccd3,USDT,Fantom,BNB CHAIN,Avalanche,620f37529e1cf703a57a02c2,620f64159e1cf703a57a0878
7,0x2b42affd4b7c14d9b7c2579229495c052672ccd3,USDC,Fantom,BNB CHAIN,Fantom,62093482d3ea681f35eb8cdf,62093c07d3ea681f35eb8e2b
8,0x2b42affd4b7c14d9b7c2579229495c052672ccd3,USDC,BNB CHAIN,Fantom,Polygon,62093c07d3ea681f35eb8e2b,6209487bd3ea681f35eb9073
9,0x77047677b341ff3724af069026ed1d149d2ddedc,USDT,Avalanche,Fantom,Avalanche,620f5d4a9e1cf703a57a079d,620fab8b9e1cf703a57a1265
10,0x8537307810fc40f4073a12a38554d4ff78efff41,USDC,Polygon,Avalanche,Polygon,6211cdea9e1cf703a57a5e28,6211d6299e1cf703a57a5f2b
11,0x8537307810fc40f4073a12a38554d4ff78efff41,USDC,Avalanche,Polygon,BNB CHAIN,6211d6299e1cf703a57a5f2b,6211d8109e1cf703a57a5f61
12,0x8537307810fc40f4073a12a38554d4ff78efff41,USDT,Polygon,Avalanche,Polygon,620bb388d3ea681f35ebebcf,620bf8e2d3ea681f35ebf934
13,0x8537307810fc40f4073a12a38554d4ff78efff41,USDT,Avalanche,Polygon,Fantom,620bf8e2d3ea681f35ebf934,620c0888d3ea681f35ebfbd7
14,0x8537307810fc40f4073a12a38554d4ff78efff41,DAI,Polygon,Avalanche,Polygon,620d43d9d3ea681f35ec2bfe,620d705dd3ea681f35ec340a
15,0x06bec9e10eb9253b114a1a38b99f31c9184c317f,USDC,BNB CHAIN,Fantom,Polygon,6210ace49e1cf703a57a35df,6210af3b9e1cf703a57a362d
16,0x9db3f57cc9069dd4307b6a73a752f08fb82f988c,MIM,Fantom,BNB CHAIN,Fantom,6209ac49d3ea681f35eba093,6209b4f0d3ea681f35eba19e
17,0x9db3f57cc9069dd4307b6a73a752f08fb82f988c,USDC,Avalanche,Fantom,BNB CHAIN,62113bdd9e1cf703a57a4bc9,62116a189e1cf703a57a5287
18,0x9db3f57cc9069dd4307b6a73a752f08fb82f988c,USDC,BNB CHAIN,Fantom,Avalanche,6211d7959e1cf703a57a5f56,6211d7d39e1cf703a57a5f5b
19,0x9db3f57cc9069dd4307b6a73a752f08fb82f988c,USDC,Fantom,Avalanche,Fantom,6211d7d39e1cf703a57a5f5b,6211ea4a9e1cf703a57a624a
20,0x9db3f57cc9069dd4307b6a73a752f08fb82f988c,USDC,Avalanche,Fantom,BNB CHAIN,6211ea4a9e1cf703a57a624a,6211eb039e1cf703a57a625d
21,0x4423ac71f53ca92e2f2be5917a9c2468e7412f4a,FXS,BNB CHAIN,Polygon,BNB CHAIN,62115f3311d45e0a4967e63c,6211849a11d45e0a49681a19
22,0x4423ac71f53ca92e2f2be5917a9c2468e7412f4a,FXS,Polygon,BNB CHAIN,Polygon,6211849a11d45e0a49681a19,6211d3d711d45e0a49685dd3
23,0x5a9fd7c39a6c488e715437d7b1f3c823d5596ed1,USDC,Polygon,Fantom,BNB CHAIN,621000e49e1cf703a57a216f,621006f49e1cf703a57a224e
