,Addresses,Token,Blockchain_1,Blockchain_2,Blockchain_3,TxID_1,TxID_2
0,0xcdb549d3c5cbe0ffbb838e67529bf6cbffa75fe1,BIFI,Fantom,BNB CHAIN,Polygon,6212528c9e1cf703a57a72d8,6212569e11d45e0a49688f03
1,0xcdb549d3c5cbe0ffbb838e67529bf6cbffa75fe1,ALPACA,Fantom,BNB CHAIN,Fantom,620f801311d45e0a4966f70a,620f866a11d45e0a4966f875
2,0xcdb549d3c5cbe0ffbb838e67529bf6cbffa75fe1,WOO,BNB CHAIN,Fantom,BNB CHAIN,62125d5811d45e0a4968927e,6212638011d45e0a496893f9
3,0x8537307810fc40f4073a12a38554d4ff78efff41,USDC,Avalanche,Polygon,BNB CHAIN,6211d6299e1cf703a57a5f2b,6211d8109e1cf703a57a5f61
4,0x06bec9e10eb9253b114a1a38b99f31c9184c317f,USDC,BNB CHAIN,Fantom,Polygon,6210ace49e1cf703a57a35df,6210af3b9e1cf703a57a362d
5,0x9db3f57cc9069dd4307b6a73a752f08fb82f988c,USDC,BNB CHAIN,Fantom,Avalanche,6211d7959e1cf703a57a5f56,6211d7d39e1cf703a57a5f5b
6,0x9db3f57cc9069dd4307b6a73a752f08fb82f988c,USDC,Avalanche,Fantom,BNB CHAIN,6211ea4a9e1cf703a57a624a,6211eb039e1cf703a57a625d
7,0x5a9fd7c39a6c488e715437d7b1f3c823d5596ed1,USDC,Polygon,Fantom,BNB CHAIN,621000e49e1cf703a57a216f,621006f49e1cf703a57a224e
8,0x5a9fd7c39a6c488e715437d7b1f3c823d5596ed1,USDT,Ethereum,Polygon,BNB CHAIN,6210e0b39e1cf703a57a3c5b,6210e3c89e1cf703a57a3cc5
9,0x5a9fd7c39a6c488e715437d7b1f3c823d5596ed1,DAI,Polygon,BNB CHAIN,Fantom,621204ca9e1cf703a57a6680,62120b999e1cf703a57a6775
10,0x34327028c727613872cd80122b9a489a4b9c0bfa,DERC,Polygon,BNB CHAIN,Polygon,620d65b73c8253c5fb8bb40d,620d67883c8253c5fb8bb468
11,0x1c94f4d7cf577ae410d8a80300af0377fbe6b222,BNB,Fantom,BNB CHAIN,Fantom,620d07c6d3ea681f35ec2150,620d087cd3ea681f35ec2167
12,0x7fa13526c6b6513d2599c4b6083ba4efe97950b8,MIM,Fantom,Avalanche,Fantom,620f26636e600401c2649c9a,620f29606e600401c2649d00
13,0x0464d1871930ba0aa1b398fb28ab348f6b7caffe,USDC,Fantom,Polygon,Fantom,6211b3e29e1cf703a57a5b0d,6211b7b29e1cf703a57a5b7f
14,0x7a505df95aac78f142ca98cecd771d3c398b4b71,GEMG,BNB CHAIN,Polygon,BNB CHAIN,620923622219a24b7e94b253,620925922219a24b7e94b379
15,0xbd9e8e2bad7c6bb4dd6d8910c317d04eb5c6c618,USDT,BNB CHAIN,Fantom,Avalanche,620dfcd89e7d5ed1f4f40e85,620e03b29e7d5ed1f4f40fa0
16,0x3e972c4859a1fc8a25b13b4bbc38e57eb8621645,BIFI,BNB CHAIN,Avalanche,BNB CHAIN,620c77a2d3ea681f35ec0d63,620c77dfd3ea681f35ec0d6f
17,0x3e972c4859a1fc8a25b13b4bbc38e57eb8621645,GCAKE,Ethereum,BNB CHAIN,Ethereum,620ccd69d3ea681f35ec18c2,620ccde3d3ea681f35ec18de
18,0x3e972c4859a1fc8a25b13b4bbc38e57eb8621645,KAE,Fantom,Ethereum,Fantom,62099a75d3ea681f35eb9e75,62099b62d3ea681f35eb9e9a
19,0x3e972c4859a1fc8a25b13b4bbc38e57eb8621645,FABRIC,Ethereum,BNB CHAIN,Ethereum,6212eb229e1cf703a57a8a5d,6212eb9c9e1cf703a57a8a73
20,0x3e972c4859a1fc8a25b13b4bbc38e57eb8621645,FABRIC,Ethereum,BNB CHAIN,Ethereum,62134ec39e1cf703a57a9587,62134eff9e1cf703a57a9598
21,0x3e972c4859a1fc8a25b13b4bbc38e57eb8621645,FABRIC,BNB CHAIN,Ethereum,BNB CHAIN,62134eff9e1cf703a57a9598,62134f789e1cf703a57a95bc
22,0x3e972c4859a1fc8a25b13b4bbc38e57eb8621645,RDT,Ethereum,BNB CHAIN,Ethereum,620b8db6d3ea681f35ebe53f,620b8e30d3ea681f35ebe555
