,Addresses,Token,Blockchain_1,Blockchain_2,Blockchain_3,TxID_1,TxID_2
0,0x8537307810fc40f4073a12a38554d4ff78efff41,USDC,Avalanche,Polygon,BNB CHAIN,6211d6299e1cf703a57a5f2b,6211d8109e1cf703a57a5f61
1,0x9db3f57cc9069dd4307b6a73a752f08fb82f988c,USDC,BNB CHAIN,Fantom,Avalanche,6211d7959e1cf703a57a5f56,6211d7d39e1cf703a57a5f5b
2,0x9db3f57cc9069dd4307b6a73a752f08fb82f988c,USDC,Avalanche,Fantom,BNB CHAIN,6211ea4a9e1cf703a57a624a,6211eb039e1cf703a57a625d
3,0x34327028c727613872cd80122b9a489a4b9c0bfa,DERC,Polygon,BNB CHAIN,Polygon,620d65b73c8253c5fb8bb40d,620d67883c8253c5fb8bb468
4,0x1c94f4d7cf577ae410d8a80300af0377fbe6b222,BNB,Fantom,BNB CHAIN,Fantom,620d07c6d3ea681f35ec2150,620d087cd3ea681f35ec2167
5,0x7a505df95aac78f142ca98cecd771d3c398b4b71,GEMG,BNB CHAIN,Polygon,BNB CHAIN,620923622219a24b7e94b253,620925922219a24b7e94b379
6,0x3e972c4859a1fc8a25b13b4bbc38e57eb8621645,BIFI,BNB CHAIN,Avalanche,BNB CHAIN,620c77a2d3ea681f35ec0d63,620c77dfd3ea681f35ec0d6f
7,0x3e972c4859a1fc8a25b13b4bbc38e57eb8621645,GCAKE,Ethereum,BNB CHAIN,Ethereum,620ccd69d3ea681f35ec18c2,620ccde3d3ea681f35ec18de
8,0x3e972c4859a1fc8a25b13b4bbc38e57eb8621645,KAE,Fantom,Ethereum,Fantom,62099a75d3ea681f35eb9e75,62099b62d3ea681f35eb9e9a
9,0x3e972c4859a1fc8a25b13b4bbc38e57eb8621645,FABRIC,Ethereum,BNB CHAIN,Ethereum,6212eb229e1cf703a57a8a5d,6212eb9c9e1cf703a57a8a73
10,0x3e972c4859a1fc8a25b13b4bbc38e57eb8621645,FABRIC,Ethereum,BNB CHAIN,Ethereum,62134ec39e1cf703a57a9587,62134eff9e1cf703a57a9598
11,0x3e972c4859a1fc8a25b13b4bbc38e57eb8621645,FABRIC,BNB CHAIN,Ethereum,BNB CHAIN,62134eff9e1cf703a57a9598,62134f789e1cf703a57a95bc
12,0x3e972c4859a1fc8a25b13b4bbc38e57eb8621645,RDT,Ethereum,BNB CHAIN,Ethereum,620b8db6d3ea681f35ebe53f,620b8e30d3ea681f35ebe555
