,Addresses,Token,Blockchain_1,Blockchain_2,Blockchain_3,TxID_1,TxID_2
35,0x67ebc532d648e6164a6fd726ff0b39e69180dafe,YEL,Fantom,Ethereum,Fantom,620d22fb3c8253c5fb8b9329,620d23553c8253c5fb8b9348
36,0x67ebc532d648e6164a6fd726ff0b39e69180dafe,B2M,Polygon,Ethereum,Polygon,621136df11d45e0a4967a915,6211381b11d45e0a4967aa3c
37,0x8039f3aa709fec29fdc5f075449b23ab609a6998,FABRIC,Ethereum,BNB CHAIN,Ethereum,620a298c854f936fad88c601,620a2a9ad3ea681f35ebb13e
38,0x8039f3aa709fec29fdc5f075449b23ab609a6998,WTF,BNB CHAIN,Avalanche,BNB CHAIN,6210efec9e1cf703a57a3ef2,6210f0659e1cf703a57a3f08
39,0x8039f3aa709fec29fdc5f075449b23ab609a6998,FROYO,BNB CHAIN,Ethereum,BNB CHAIN,620e6d2a62d48eee70ee1dfb,620e6e4f62d48eee70ee1f48
40,0x8039f3aa709fec29fdc5f075449b23ab609a6998,KST,Ethereum,BNB CHAIN,Ethereum,6210450d9e1cf703a57a29e8,621046ed9e1cf703a57a2a1d
41,0x60e81aac6ce31d84121732362c9855ae1a9f09f3,STORE,Ethereum,BNB CHAIN,Ethereum,62092b592219a24b7e94b545,62092c752219a24b7e94b55a
42,0x97d74a0afda3b71339d4d3c23cdcbef898de4da9,BNB,Polygon,BNB CHAIN,Avalanche,620e219adcf15fd1a428001b,620e222b62d48eee70edf306
43,0x7567e696922eb3f140ebdd1770054c634b7bf708,GAIA,Polygon,BNB CHAIN,Polygon,620bb972854f936fad8978e3,620bbc1fd3ea681f35ebed7a
44,0x7567e696922eb3f140ebdd1770054c634b7bf708,KNC,BNB CHAIN,Polygon,Avalanche,6209e03e2219a24b7e94d757,6209e0be2219a24b7e94d76f
45,0x7567e696922eb3f140ebdd1770054c634b7bf708,GMEE,BNB CHAIN,Polygon,BNB CHAIN,620a5f0b854f936fad88cf78,620a60b4854f936fad88d073
46,0x7567e696922eb3f140ebdd1770054c634b7bf708,USV,Polygon,BNB CHAIN,Polygon,620dc6773c8253c5fb8bd055,620dc8093c8253c5fb8bd0c9
47,0x7567e696922eb3f140ebdd1770054c634b7bf708,MRFI,Avalanche,BNB CHAIN,Avalanche,620e831adcf15fd1a4280f20,620e834f62d48eee70ee30e2
48,0x7567e696922eb3f140ebdd1770054c634b7bf708,FEAR,Polygon,BNB CHAIN,Polygon,620e1a92dcf15fd1a427ff28,620e1ab462d48eee70edf19f
49,0x7567e696922eb3f140ebdd1770054c634b7bf708,BIFI,BNB CHAIN,Avalanche,Polygon,620b66ba854f936fad896198,620b6729854f936fad8961bf
50,0x7567e696922eb3f140ebdd1770054c634b7bf708,WELT,Polygon,BNB CHAIN,Polygon,620ba058854f936fad89709f,620ba292d3ea681f35ebe88c
51,0x30cb2c51fc4f031fa5f326d334e1f5da00e19ab5,BIFI,Fantom,BNB CHAIN,Fantom,62114cb511d45e0a4967cabb,62114ecf11d45e0a4967d00f
52,0x30cb2c51fc4f031fa5f326d334e1f5da00e19ab5,ALPACA,Fantom,BNB CHAIN,Fantom,620e899962d48eee70ee340b,620e8a2762d48eee70ee3443
53,0x30cb2c51fc4f031fa5f326d334e1f5da00e19ab5,ALPACA,BNB CHAIN,Fantom,BNB CHAIN,620e8a2762d48eee70ee3443,620e8b0362d48eee70ee34b2
54,0x30cb2c51fc4f031fa5f326d334e1f5da00e19ab5,JOE,Avalanche,Fantom,Avalanche,620fcdf611d45e0a49671125,620fce7011d45e0a49671165
55,0x153e01b7f5c0a198cb12335bbe62ed22e0a05687,USDC,BNB CHAIN,Fantom,Avalanche,62097b8fd3ea681f35eb9988,62097c0bd3ea681f35eb99a5
56,0x123bb6519cf54a8e3917ed8b450a3ab11fd4b974,DSLA,BNB CHAIN,Ethereum,Avalanche,620caabad3ea681f35ec13ff,620cabd826b3d8ba9857d7aa
57,0x47a3ed852e37477cf1ba297f8288e06230b2d543,USDC,Fantom,BNB CHAIN,Fantom,620e7cc862d48eee70ee2e1c,620e7dcf62d48eee70ee2e8b
58,0x47a3ed852e37477cf1ba297f8288e06230b2d543,USDC,BNB CHAIN,Fantom,BNB CHAIN,620e7dcf62d48eee70ee2e8b,620e7e7362d48eee70ee2ed6
59,0xc57ea958e33dc87c7c7951774bab9221346ba26f,TOMB,Avalanche,BNB CHAIN,Fantom,620d90e13c8253c5fb8bbc62,620d913f3c8253c5fb8bbc98
60,0xc57ea958e33dc87c7c7951774bab9221346ba26f,USDC,Polygon,Fantom,BNB CHAIN,6211d5ae9e1cf703a57a5f1f,6211d6db9e1cf703a57a5f3b
61,0xc57ea958e33dc87c7c7951774bab9221346ba26f,ALPACA,BNB CHAIN,Fantom,BNB CHAIN,62108a4f11d45e0a49676a88,62108afa11d45e0a49676a9a
62,0xf2ce52e3d0eb5d237341c9a75ca24647d87d7e55,FABRIC,BNB CHAIN,Ethereum,BNB CHAIN,620a10aa854f936fad88bfe2,620a10fd854f936fad88bfea
63,0xf2ce52e3d0eb5d237341c9a75ca24647d87d7e55,FABRIC,Ethereum,BNB CHAIN,Ethereum,620a10fd854f936fad88bfea,620a1172854f936fad88bffb
64,0xf2ce52e3d0eb5d237341c9a75ca24647d87d7e55,FABRIC,Ethereum,BNB CHAIN,Ethereum,620b31d4d3ea681f35ebd74a,620b31ed854f936fad894e32
65,0xf2ce52e3d0eb5d237341c9a75ca24647d87d7e55,MLT,Ethereum,BNB CHAIN,Ethereum,620e3c6762d48eee70edf83e,620e3d1062d48eee70edf8a9
66,0xf2ce52e3d0eb5d237341c9a75ca24647d87d7e55,SWAP,BNB CHAIN,Ethereum,BNB CHAIN,620fd81211d45e0a496717ea,620fd8e911d45e0a4967189e
67,0xf2ce52e3d0eb5d237341c9a75ca24647d87d7e55,PPAY,Ethereum,BNB CHAIN,Ethereum,620fccb811d45e0a49671092,620fcd5811d45e0a496710d9
68,0xb20221c54128fab03425314983616c46d5bfb854,MIM,Avalanche,Fantom,BNB CHAIN,620d0e2fd3ea681f35ec228b,620d0e6fd3ea681f35ec2298
69,0xb9b9161c6440353d30e06f6a3f93cd43bd1e3907,USDT,BNB CHAIN,Avalanche,BNB CHAIN,620f716d9e1cf703a57a0a1e,620f71ea9e1cf703a57a0a33
70,0xbfded67c2415e21f251bc209ff11a2fb74dfd0a4,MIM,Avalanche,Fantom,BNB CHAIN,620de0c4dcf15fd1a427f873,620de163dcf15fd1a427f883
71,0xf07a3a88e07a2b1df9d4e088a7f34ceb6cdf445a,MIM,Avalanche,Fantom,Avalanche,6211f3e99e1cf703a57a63b2,6211f5609e1cf703a57a63f1
72,0x0b7abcd0a947ee625a898642ebe24bcdb3a1848a,USDT,BNB CHAIN,Polygon,Avalanche,621266bb11d45e0a496894d4,6212686f11d45e0a49689532
73,0x0b7abcd0a947ee625a898642ebe24bcdb3a1848a,USDT,Polygon,Avalanche,BNB CHAIN,6212686f11d45e0a49689532,62126b6011d45e0a496895e4
74,0x9183e1b9670d2758065c7181e26c09f7fd14be31,USDT,BNB CHAIN,Fantom,Avalanche,62104a099e1cf703a57a2a78,62104a329e1cf703a57a2a82
75,0xfc6009053ba05ac2a96ef017a823d87c38d5e0b5,USDC,Polygon,Fantom,BNB CHAIN,6210985611d45e0a49676c59,62109a5d11d45e0a49676c87
76,0xe2ca76a6c3bb2e26bda7e13b5aa10c633071ff4b,USDC,Polygon,Fantom,Ethereum,6209f595854f936fad88ba59,6209f782d3ea681f35ebaabb
77,0xb324a5c8e61dba2a4a03a053f8c42629a0226d56,USDC,BNB CHAIN,Fantom,Polygon,620d1a8a3c8253c5fb8b90a8,620d1be33c8253c5fb8b915f
78,0xb324a5c8e61dba2a4a03a053f8c42629a0226d56,USDC,BNB CHAIN,Polygon,Fantom,620d2afa3c8253c5fb8b9470,620d2cd43c8253c5fb8b94c5
79,0x81c4a126b101ef7eb6d54bc0d6e88465c265bd91,USDC,BNB CHAIN,Fantom,Avalanche,62122e7f9e1cf703a57a6c32,62122ebe9e1cf703a57a6c3b
80,0x81c4a126b101ef7eb6d54bc0d6e88465c265bd91,USDC,Fantom,Avalanche,Fantom,62122ebe9e1cf703a57a6c3b,621230d99e1cf703a57a6c86
81,0x81e9f4275bf6858072ef4b425f2dc28163ccd980,DAI,Avalanche,Fantom,BNB CHAIN,62123db29e1cf703a57a6e62,62123eac9e1cf703a57a6e91
82,0x7737d3742ddc67f1443b40cbe6d401d649d3906a,QI,Avalanche,Polygon,Avalanche,620ea76462d48eee70ee4650,620ea89562d48eee70ee46fb
83,0x193db18a5ef9a0320b7374c1fe8af976235f3211,WBTC,Fantom,Ethereum,Fantom,620f42012aaabc039b737c11,620f42a42aaabc039b737cb4
84,0x528836082e417d7b839e17a17964694266aa29a5,USDT,Avalanche,Fantom,BNB CHAIN,620c6133d3ea681f35ec0a0b,620c638ed3ea681f35ec0a6d
85,0x93c3d5f1bcd2e80322bc7832a8ba591949bec90a,USDC,Avalanche,Polygon,BNB CHAIN,6209d2fe2219a24b7e94d558,6209d4eb2219a24b7e94d582
86,0x0000023cbc437683aec074e3cb75ad38ae2e87e1,USDT,Ethereum,Polygon,BNB CHAIN,620a155d854f936fad88c071,620a1604854f936fad88c07d
87,0x0000023cbc437683aec074e3cb75ad38ae2e87e1,USDT,Polygon,BNB CHAIN,Polygon,620a1604854f936fad88c07d,620a17da854f936fad88c12b
88,0x0000023cbc437683aec074e3cb75ad38ae2e87e1,USDT,BNB CHAIN,Polygon,BNB CHAIN,620a17da854f936fad88c12b,620a18b1854f936fad88c1b8
89,0x25697b4753a70a1847e12409bdf4d13a5c998c32,AVAX,Fantom,Avalanche,Fantom,620bfab2d3ea681f35ebf992,620bfcced3ea681f35ebf9f2
90,0x7365ac122eac1febc7aae228360ec9f7d18f630e,USDT,BNB CHAIN,Polygon,BNB CHAIN,620a4272854f936fad88c9d9,620a442c854f936fad88ca12
91,0xcc88036fa05c86129bf66260c2a905ab2c7b663c,QI,Polygon,Avalanche,Polygon,62105f7a11d45e0a4967580f,6210615a11d45e0a49675a11
92,0xcc88036fa05c86129bf66260c2a905ab2c7b663c,ALPACA,BNB CHAIN,Fantom,BNB CHAIN,620e8f6a62d48eee70ee371a,620e91d862d48eee70ee3884
93,0xcc88036fa05c86129bf66260c2a905ab2c7b663c,ALPACA,Fantom,BNB CHAIN,Fantom,620e91d862d48eee70ee3884,620e93a762d48eee70ee398e
94,0x7f28d5cf229905b3b12e4054067997d2b7e670dd,BIFI,BNB CHAIN,Avalanche,BNB CHAIN,620e24e962d48eee70edf373,620e254e62d48eee70edf381
95,0xad56051bc795d88d360c4794238a11ab006e371b,DAI,Avalanche,Fantom,Ethereum,620af627854f936fad8944eb,620af778d3ea681f35ebcf5d
96,0x3c5c33b177e26627a18e2e81ff94bfd3cbee4ac5,USV,Polygon,Avalanche,Polygon,620978462219a24b7e94c4ae,620979ec2219a24b7e94c501
97,0xdc65630427c23ac00c163b0c13c02b27722f75c1,USDC,Ethereum,Fantom,BNB CHAIN,620eea79dcf15fd1a4281f81,620eed16dcf15fd1a4281ff9
98,0x88adca90818e1d113f5f3eb3b3ceabdec4bd8bbd,USDT,BNB CHAIN,Avalanche,Fantom,6212d9de11d45e0a4968b0fd,6212daec11d45e0a4968b148
99,0x2093baf601e54b1c2907161ad191a60a2fe1c260,DAI,Fantom,Avalanche,Fantom,6212d99a9e1cf703a57a8852,6212db4611d45e0a4968b16c
100,0x55a1b211a1d4b54e53186e926820e835f053b42d,ROLL,Polygon,BNB CHAIN,Polygon,62120e3c11d45e0a49686b61,6212106511d45e0a49686c1a
101,0xf19b748b71d4d92a774b890824171567425e4d81,DAI,Avalanche,Fantom,BNB CHAIN,620bd88fd3ea681f35ebf2fc,620bd911d3ea681f35ebf311
102,0x078ec83dcb4eb62015ebe71ff3506e582aca0d67,USDC,Polygon,Fantom,Avalanche,620aff6f854f936fad894690,620b098b854f936fad8947b4
103,0xb4047eb6707aa777746042ceb1d42d6ee3d7845e,USDC,Fantom,Ethereum,Avalanche,6209d6e62219a24b7e94d5c8,6209d7b52219a24b7e94d5df
104,0x87f0f4b5e3cfd247583e35564574d4fad0a4bbf7,MIM,Avalanche,Fantom,Avalanche,6211b8569e1cf703a57a5b97,6211baec9e1cf703a57a5be7
105,0xa76cbd9b7d0e994266e8ca9f68df62f4e48c033c,FXS,Fantom,Ethereum,Fantom,620a1127854f936fad88bfee,620a11de854f936fad88c000
