,Addresses,Token,Blockchain_1,Blockchain_2,Blockchain_3,Blockchain_4,TxID_1,TxID_2,TxID_3
28,0x3e972c4859a1fc8a25b13b4bbc38e57eb8621645,FABRIC,BNB CHAIN,Ethereum,BNB CHAIN,Ethereum,6212eb9c9e1cf703a57a8a73,62134ec39e1cf703a57a9587,62134eff9e1cf703a57a9598
29,0x3e972c4859a1fc8a25b13b4bbc38e57eb8621645,FABRIC,Ethereum,BNB CHAIN,Ethereum,BNB CHAIN,62134ec39e1cf703a57a9587,62134eff9e1cf703a57a9598,62134f789e1cf703a57a95bc
30,0x3e972c4859a1fc8a25b13b4bbc38e57eb8621645,RDT,Ethereum,BNB CHAIN,Ethereum,BNB CHAIN,620b8db6d3ea681f35ebe53f,620b8e30d3ea681f35ebe555,620b8ea3d3ea681f35ebe56c
31,0x3e972c4859a1fc8a25b13b4bbc38e57eb8621645,SWAP,Ethereum,BNB CHAIN,Ethereum,BNB CHAIN,620fa0839e1cf703a57a10f4,620fa4039e1cf703a57a1173,620fa43f9e1cf703a57a117c
32,0x3e972c4859a1fc8a25b13b4bbc38e57eb8621645,SWAP,BNB CHAIN,Ethereum,BNB CHAIN,Ethereum,620fa4039e1cf703a57a1173,620fa43f9e1cf703a57a117c,620fa4b99e1cf703a57a118e
33,0x3e972c4859a1fc8a25b13b4bbc38e57eb8621645,UMAD,Ethereum,BNB CHAIN,Ethereum,BNB CHAIN,620fe2d89e1cf703a57a1ca1,620ffef99e1cf703a57a2125,621000229e1cf703a57a214e
34,0x3e972c4859a1fc8a25b13b4bbc38e57eb8621645,INV,Fantom,Ethereum,Fantom,Ethereum,6210cc889e1cf703a57a3992,6210cd019e1cf703a57a39a3,6210cd3e9e1cf703a57a39aa
35,0x67ebc532d648e6164a6fd726ff0b39e69180dafe,USDT,Polygon,BNB CHAIN,Polygon,BNB CHAIN,620b2ed7854f936fad894d9b,620b7ff7854f936fad89670b,620b840f854f936fad896886
36,0x67ebc532d648e6164a6fd726ff0b39e69180dafe,USDT,BNB CHAIN,Polygon,BNB CHAIN,Polygon,620b7ff7854f936fad89670b,620b840f854f936fad896886,620b8466854f936fad89689a
37,0x67ebc532d648e6164a6fd726ff0b39e69180dafe,DERC,Ethereum,Polygon,BNB CHAIN,Polygon,6209926d2219a24b7e94c895,620a078a854f936fad88be25,620a08cd854f936fad88be8a
38,0x67ebc532d648e6164a6fd726ff0b39e69180dafe,DERC,Polygon,BNB CHAIN,Polygon,BNB CHAIN,620a078a854f936fad88be25,620a08cd854f936fad88be8a,620a102d854f936fad88bfc3
39,0x67ebc532d648e6164a6fd726ff0b39e69180dafe,DERC,BNB CHAIN,Polygon,BNB CHAIN,Polygon,620a08cd854f936fad88be8a,620a102d854f936fad88bfc3,620a1160854f936fad88bff7
40,0x67ebc532d648e6164a6fd726ff0b39e69180dafe,ETH,Avalanche,Fantom,Polygon,Fantom,620a2d72854f936fad88c6ae,620a2cdd854f936fad88c6a1,620a2dc2854f936fad88c6b6
41,0x67ebc532d648e6164a6fd726ff0b39e69180dafe,ETH,Fantom,Polygon,Fantom,BNB CHAIN,620a2cdd854f936fad88c6a1,620a2dc2854f936fad88c6b6,620ab95a854f936fad891167
42,0x67ebc532d648e6164a6fd726ff0b39e69180dafe,ICE,Ethereum,Polygon,Ethereum,Fantom,620fc15911d45e0a49670c71,620fc4ea11d45e0a49670ddc,620fe14c11d45e0a49671fbf
43,0x67ebc532d648e6164a6fd726ff0b39e69180dafe,WETH,Ethereum,Fantom,Ethereum,Fantom,6209a0262219a24b7e94cb0a,620a302ed3ea681f35ebb207,620a7cd1854f936fad88dc6b
44,0x67ebc532d648e6164a6fd726ff0b39e69180dafe,MLT,BNB CHAIN,Ethereum,BNB CHAIN,Ethereum,620a8078854f936fad88df19,620a80dc854f936fad88df4a,620a817d854f936fad88df9a
45,0x67ebc532d648e6164a6fd726ff0b39e69180dafe,FABRIC,BNB CHAIN,Ethereum,BNB CHAIN,Ethereum,620ab771854f936fad890ecd,620ab7f5854f936fad890f7e,620ab8ad854f936fad891079
46,0x8039f3aa709fec29fdc5f075449b23ab609a6998,USDT,Fantom,BNB CHAIN,Fantom,BNB CHAIN,620a8b72d3ea681f35ebbf50,620aad39d3ea681f35ebc494,620afe4ed3ea681f35ebd043
47,0x8039f3aa709fec29fdc5f075449b23ab609a6998,USDT,BNB CHAIN,Fantom,BNB CHAIN,Fantom,620aad39d3ea681f35ebc494,620afe4ed3ea681f35ebd043,620b3297d3ea681f35ebd76f
48,0x8039f3aa709fec29fdc5f075449b23ab609a6998,USDT,Fantom,BNB CHAIN,Fantom,BNB CHAIN,620afe4ed3ea681f35ebd043,620b3297d3ea681f35ebd76f,620b4c61d3ea681f35ebdaf9
49,0x8039f3aa709fec29fdc5f075449b23ab609a6998,ALPACA,Fantom,BNB CHAIN,Fantom,BNB CHAIN,620ecd6bdcf15fd1a4281b70,620edb03dcf15fd1a4281d5e,620ee605dcf15fd1a4281edd
50,0x60e81aac6ce31d84121732362c9855ae1a9f09f3,STORE,Ethereum,BNB CHAIN,Ethereum,BNB CHAIN,62092b592219a24b7e94b545,62092c752219a24b7e94b55a,6209b9092219a24b7e94d085
51,0x60e81aac6ce31d84121732362c9855ae1a9f09f3,GMEE,BNB CHAIN,Polygon,BNB CHAIN,Polygon,6211117911d45e0a4967961c,6211cd3e11d45e0a49685d21,6212855a11d45e0a49689a9e
52,0xac569e0f62c7cbbb987518692aae056a0ae1dd18,DAI,Polygon,Fantom,Polygon,Fantom,620adf18d3ea681f35ebcc07,620af5a9d3ea681f35ebcf1a,620b0c5cd3ea681f35ebd232
53,0xac569e0f62c7cbbb987518692aae056a0ae1dd18,DAI,Fantom,Polygon,Fantom,Polygon,620af5a9d3ea681f35ebcf1a,620b0c5cd3ea681f35ebd232,620b307cd3ea681f35ebd730
54,0xac569e0f62c7cbbb987518692aae056a0ae1dd18,DAI,Polygon,Fantom,Polygon,Fantom,620b0c5cd3ea681f35ebd232,620b307cd3ea681f35ebd730,620bce6fd3ea681f35ebf0f8
55,0xac569e0f62c7cbbb987518692aae056a0ae1dd18,DAI,Fantom,Polygon,Fantom,Polygon,620b307cd3ea681f35ebd730,620bce6fd3ea681f35ebf0f8,620c9745d3ea681f35ec1195
56,0x5628ba07034e625180fb6d3a46932a1012f76984,BANANA,Polygon,BNB CHAIN,Polygon,BNB CHAIN,620931822219a24b7e94b612,620972402219a24b7e94c3ca,6209b2362219a24b7e94cf1e
57,0x5628ba07034e625180fb6d3a46932a1012f76984,BANANA,BNB CHAIN,Polygon,BNB CHAIN,Polygon,620972402219a24b7e94c3ca,6209b2362219a24b7e94cf1e,6209e1f32219a24b7e94d79a
58,0x97d74a0afda3b71339d4d3c23cdcbef898de4da9,BNB,BNB CHAIN,Polygon,BNB CHAIN,Avalanche,620e11229e7d5ed1f4f411b5,620e219adcf15fd1a428001b,620e222b62d48eee70edf306
59,0x2d00c338eff4f11428169984716d34c7cfce0f30,USDC,BNB CHAIN,Fantom,BNB CHAIN,Fantom,6210da3f11d45e0a49677fbc,6211af4211d45e0a496854ec,6211dee411d45e0a49685f6c
60,0x7567e696922eb3f140ebdd1770054c634b7bf708,GAIA,BNB CHAIN,Polygon,BNB CHAIN,Polygon,620b7ba7d3ea681f35ebe1f7,620bb972854f936fad8978e3,620bbc1fd3ea681f35ebed7a
61,0x7567e696922eb3f140ebdd1770054c634b7bf708,USDC,Polygon,Avalanche,Polygon,Avalanche,6209957d2219a24b7e94c903,620a1ade854f936fad88c201,620accc3854f936fad892979
62,0x7567e696922eb3f140ebdd1770054c634b7bf708,KNC,Avalanche,BNB CHAIN,Polygon,Avalanche,6209b12c2219a24b7e94cf03,6209e03e2219a24b7e94d757,6209e0be2219a24b7e94d76f
63,0x7567e696922eb3f140ebdd1770054c634b7bf708,GMEE,BNB CHAIN,Polygon,BNB CHAIN,Polygon,620a5f0b854f936fad88cf78,620a60b4854f936fad88d073,620a9aec854f936fad88ef1e
64,0x7567e696922eb3f140ebdd1770054c634b7bf708,USV,BNB CHAIN,Polygon,BNB CHAIN,Polygon,620d18893c8253c5fb8b903a,620dc6773c8253c5fb8bd055,620dc8093c8253c5fb8bd0c9
65,0x7567e696922eb3f140ebdd1770054c634b7bf708,WELT,Polygon,BNB CHAIN,Polygon,BNB CHAIN,620ba058854f936fad89709f,620ba292d3ea681f35ebe88c,620c76a3854f936fad89c625
66,0x7567e696922eb3f140ebdd1770054c634b7bf708,MIMIR,BNB CHAIN,Polygon,BNB CHAIN,Polygon,620babeb854f936fad897446,620be84e854f936fad8990ec,620c37e4854f936fad89a44d
67,0x9a3e402475cfccd645440e09466eb3c530d7163d,USDC,BNB CHAIN,Fantom,BNB CHAIN,Fantom,620c6fd4854f936fad89c523,620c7d70854f936fad89c84d,620cb67326b3d8ba9857db8c
68,0x9a3e402475cfccd645440e09466eb3c530d7163d,USDC,Fantom,BNB CHAIN,Fantom,BNB CHAIN,620c7d70854f936fad89c84d,620cb67326b3d8ba9857db8c,620cc8b026b3d8ba9857e149
69,0x30cb2c51fc4f031fa5f326d334e1f5da00e19ab5,BIFI,BNB CHAIN,Fantom,BNB CHAIN,Fantom,6210a0c911d45e0a49676d86,62114cb511d45e0a4967cabb,62114ecf11d45e0a4967d00f
70,0x30cb2c51fc4f031fa5f326d334e1f5da00e19ab5,USDT,Fantom,BNB CHAIN,Fantom,BNB CHAIN,620e911162d48eee70ee3818,620ebdf862d48eee70ee4faf,620f37712aaabc039b7372e7
71,0x30cb2c51fc4f031fa5f326d334e1f5da00e19ab5,GAIA,Polygon,BNB CHAIN,Polygon,BNB CHAIN,620c6a33854f936fad89c27a,620ce0dfd3ea681f35ec1b57,620d21413c8253c5fb8b92c8
72,0x30cb2c51fc4f031fa5f326d334e1f5da00e19ab5,ALPACA,BNB CHAIN,Fantom,BNB CHAIN,Fantom,620e84a762d48eee70ee318c,620e899962d48eee70ee340b,620e8a2762d48eee70ee3443
73,0x30cb2c51fc4f031fa5f326d334e1f5da00e19ab5,ALPACA,Fantom,BNB CHAIN,Fantom,BNB CHAIN,620e899962d48eee70ee340b,620e8a2762d48eee70ee3443,620e8b0362d48eee70ee34b2
74,0x30cb2c51fc4f031fa5f326d334e1f5da00e19ab5,ALPACA,BNB CHAIN,Fantom,BNB CHAIN,Fantom,620e8a2762d48eee70ee3443,620e8b0362d48eee70ee34b2,620e8ef362d48eee70ee36cf
75,0x280bd4eb784f3d9947efb0c7d4c4928c5037e4a8,USDC,Fantom,BNB CHAIN,Fantom,BNB CHAIN,620fac6a11d45e0a496701ab,620ffa1f11d45e0a496732d2,6210b02d11d45e0a4967703d
76,0x280bd4eb784f3d9947efb0c7d4c4928c5037e4a8,USDC,BNB CHAIN,Fantom,BNB CHAIN,Fantom,620ffa1f11d45e0a496732d2,6210b02d11d45e0a4967703d,6211880e11d45e0a49681f19
77,0x280bd4eb784f3d9947efb0c7d4c4928c5037e4a8,USDC,Fantom,BNB CHAIN,Fantom,Avalanche,6210b02d11d45e0a4967703d,6211880e11d45e0a49681f19,6211f00511d45e0a496862c1
78,0xb80a520619699f1dbf8f21502a57e173be73579c,USDC,Fantom,BNB CHAIN,Fantom,BNB CHAIN,621109089e1cf703a57a42ed,62110cfd9e1cf703a57a439d,6211ac5f9e1cf703a57a5a32
79,0xa311f7ca3eb2fb98123a807f9b8e4bbbdbdcb2ee,QI,Polygon,Fantom,Polygon,Fantom,620fd00a11d45e0a4967126b,621009469e1cf703a57a22a9,62105ea011d45e0a49675781
80,0xa311f7ca3eb2fb98123a807f9b8e4bbbdbdcb2ee,MCRT,BNB CHAIN,Fantom,BNB CHAIN,Fantom,620bd619854f936fad898cd9,620be706d3ea681f35ebf5eb,620c38b6854f936fad89a4b6
81,0xa311f7ca3eb2fb98123a807f9b8e4bbbdbdcb2ee,MCRT,Fantom,BNB CHAIN,Fantom,BNB CHAIN,620be706d3ea681f35ebf5eb,620c38b6854f936fad89a4b6,620c45b3d3ea681f35ec05dd
82,0xa311f7ca3eb2fb98123a807f9b8e4bbbdbdcb2ee,START,Polygon,BNB CHAIN,Polygon,BNB CHAIN,620c56d1854f936fad89b377,620cd10b1ddd18c557e91cfd,620dc1343c8253c5fb8bcece
83,0xa311f7ca3eb2fb98123a807f9b8e4bbbdbdcb2ee,ALPACA,Fantom,BNB CHAIN,Fantom,BNB CHAIN,620ebb5ddcf15fd1a428186c,620edaca62d48eee70ee5e48,620f26936e600401c2649c9d
84,0x7400933965637de0ac30f5c582e4e481934dd047,WOW,Avalanche,BNB CHAIN,Polygon,BNB CHAIN,620e6af9dcf15fd1a4280b15,620e6b5362d48eee70ee1bd4,620ee334dcf15fd1a4281e8c
85,0xfd13d9bcebdca6d4f4d2810725475025f3dd0282,USDC,Fantom,BNB CHAIN,Fantom,BNB CHAIN,620bef88854f936fad89928d,620c1170854f936fad89996d,620c61c4854f936fad89bbe8
86,0x876cf8dcb8262398885bb2e1fb025fb2c1756164,USDC,Avalanche,BNB CHAIN,Avalanche,BNB CHAIN,620f681711d45e0a4966ee8e,620f8f5811d45e0a4966fb60,620ff54311d45e0a49673089
87,0x876cf8dcb8262398885bb2e1fb025fb2c1756164,USDC,BNB CHAIN,Avalanche,BNB CHAIN,Avalanche,620f8f5811d45e0a4966fb60,620ff54311d45e0a49673089,6210182c11d45e0a4967389d
88,0x876cf8dcb8262398885bb2e1fb025fb2c1756164,USDC,Avalanche,BNB CHAIN,Avalanche,Fantom,620ff54311d45e0a49673089,6210182c11d45e0a4967389d,6210b1ee11d45e0a49677072
89,0x7c17751ae1d8a65cc51752894b54bd2b7f073651,USDC,Ethereum,Fantom,Ethereum,Fantom,620cb1c2d3ea681f35ec14f8,620cd349d3ea681f35ec1999,620d9a47d3ea681f35ec3aad
90,0x7c17751ae1d8a65cc51752894b54bd2b7f073651,USDC,Fantom,Ethereum,Fantom,Ethereum,620cd349d3ea681f35ec1999,620d9a47d3ea681f35ec3aad,620dca52d3ea681f35ec4128
91,0x7c17751ae1d8a65cc51752894b54bd2b7f073651,USDC,Ethereum,Fantom,Ethereum,Fantom,620d9a47d3ea681f35ec3aad,620dca52d3ea681f35ec4128,620dee31dcf15fd1a427f9d7
92,0xbd6c1e096c66d4fd93d71cfc270387c9f8236cf9,WBTC,Fantom,BNB CHAIN,Fantom,BNB CHAIN,620a287b854f936fad88c57f,620b16c6854f936fad8949ca,620b1a25854f936fad894a5c
93,0xbd6c1e096c66d4fd93d71cfc270387c9f8236cf9,WBTC,BNB CHAIN,Fantom,BNB CHAIN,Fantom,620b16c6854f936fad8949ca,620b1a25854f936fad894a5c,620b8b7a854f936fad896b7a
