,Addresses,Token,Blockchain_1,Blockchain_2,Blockchain_3,TxID_1,TxID_2
0,0xcdb549d3c5cbe0ffbb838e67529bf6cbffa75fe1,USDC,Fantom,BNB CHAIN,Fantom,620fbf2711d45e0a49670b6d,620fccbf11d45e0a49671096
1,0xcdb549d3c5cbe0ffbb838e67529bf6cbffa75fe1,BIFI,Fantom,BNB CHAIN,Polygon,6212528c9e1cf703a57a72d8,6212569e11d45e0a49688f03
2,0xcdb549d3c5cbe0ffbb838e67529bf6cbffa75fe1,ALPACA,Fantom,BNB CHAIN,Fantom,620f801311d45e0a4966f70a,620f866a11d45e0a4966f875
3,0xcdb549d3c5cbe0ffbb838e67529bf6cbffa75fe1,WOO,BNB CHAIN,Fantom,BNB CHAIN,62125d5811d45e0a4968927e,6212638011d45e0a496893f9
4,0x2b42affd4b7c14d9b7c2579229495c052672ccd3,USDC,Fantom,BNB CHAIN,Fantom,62093482d3ea681f35eb8cdf,62093c07d3ea681f35eb8e2b
5,0x2b42affd4b7c14d9b7c2579229495c052672ccd3,USDC,BNB CHAIN,Fantom,Polygon,62093c07d3ea681f35eb8e2b,6209487bd3ea681f35eb9073
6,0x8537307810fc40f4073a12a38554d4ff78efff41,USDC,Polygon,Avalanche,Polygon,6211cdea9e1cf703a57a5e28,6211d6299e1cf703a57a5f2b
7,0x8537307810fc40f4073a12a38554d4ff78efff41,USDC,Avalanche,Polygon,BNB CHAIN,6211d6299e1cf703a57a5f2b,6211d8109e1cf703a57a5f61
8,0x06bec9e10eb9253b114a1a38b99f31c9184c317f,USDC,BNB CHAIN,Fantom,Polygon,6210ace49e1cf703a57a35df,6210af3b9e1cf703a57a362d
9,0x9db3f57cc9069dd4307b6a73a752f08fb82f988c,MIM,Fantom,BNB CHAIN,Fantom,6209ac49d3ea681f35eba093,6209b4f0d3ea681f35eba19e
10,0x9db3f57cc9069dd4307b6a73a752f08fb82f988c,USDC,BNB CHAIN,Fantom,Avalanche,6211d7959e1cf703a57a5f56,6211d7d39e1cf703a57a5f5b
11,0x9db3f57cc9069dd4307b6a73a752f08fb82f988c,USDC,Avalanche,Fantom,BNB CHAIN,6211ea4a9e1cf703a57a624a,6211eb039e1cf703a57a625d
12,0x5a9fd7c39a6c488e715437d7b1f3c823d5596ed1,USDC,Polygon,Fantom,BNB CHAIN,621000e49e1cf703a57a216f,621006f49e1cf703a57a224e
13,0x5a9fd7c39a6c488e715437d7b1f3c823d5596ed1,ETH,Polygon,Avalanche,BNB CHAIN,620f75a29e1cf703a57a0acc,620f7ec59e1cf703a57a0c55
14,0x5a9fd7c39a6c488e715437d7b1f3c823d5596ed1,USDT,Ethereum,Polygon,BNB CHAIN,6210e0b39e1cf703a57a3c5b,6210e3c89e1cf703a57a3cc5
