,Addresses,Token,Blockchain_1,Blockchain_2,Blockchain_3,Blockchain_4,TxID_1,TxID_2,TxID_3
0,0xcdb549d3c5cbe0ffbb838e67529bf6cbffa75fe1,ALPACA,BNB CHAIN,Fantom,BNB CHAIN,Fantom,620f712811d45e0a4966f298,620f801311d45e0a4966f70a,620f866a11d45e0a4966f875
1,0x2b42affd4b7c14d9b7c2579229495c052672ccd3,USDC,Fantom,BNB CHAIN,Fantom,Polygon,62093482d3ea681f35eb8cdf,62093c07d3ea681f35eb8e2b,6209487bd3ea681f35eb9073
2,0x8537307810fc40f4073a12a38554d4ff78efff41,USDC,Polygon,Avalanche,Polygon,BNB CHAIN,6211cdea9e1cf703a57a5e28,6211d6299e1cf703a57a5f2b,6211d8109e1cf703a57a5f61
3,0x9db3f57cc9069dd4307b6a73a752f08fb82f988c,USDC,BNB CHAIN,Fantom,Avalanche,Fantom,6211d7959e1cf703a57a5f56,6211d7d39e1cf703a57a5f5b,6211ea4a9e1cf703a57a624a
4,0x9db3f57cc9069dd4307b6a73a752f08fb82f988c,USDC,Fantom,Avalanche,Fantom,BNB CHAIN,6211d7d39e1cf703a57a5f5b,6211ea4a9e1cf703a57a624a,6211eb039e1cf703a57a625d
5,0x1c94f4d7cf577ae410d8a80300af0377fbe6b222,BNB,Fantom,BNB CHAIN,Fantom,BNB CHAIN,620cdc36d3ea681f35ec1abc,620cf2ead3ea681f35ec1dc9,620d07c6d3ea681f35ec2150
6,0x1c94f4d7cf577ae410d8a80300af0377fbe6b222,BNB,BNB CHAIN,Fantom,BNB CHAIN,Fantom,620cf2ead3ea681f35ec1dc9,620d07c6d3ea681f35ec2150,620d087cd3ea681f35ec2167
7,0x1c94f4d7cf577ae410d8a80300af0377fbe6b222,BNB,Fantom,BNB CHAIN,Fantom,BNB CHAIN,620d07c6d3ea681f35ec2150,620d087cd3ea681f35ec2167,620d1435d3ea681f35ec23b9
8,0x3e972c4859a1fc8a25b13b4bbc38e57eb8621645,FABRIC,Ethereum,BNB CHAIN,Ethereum,BNB CHAIN,62134ec39e1cf703a57a9587,62134eff9e1cf703a57a9598,62134f789e1cf703a57a95bc
9,0x3e972c4859a1fc8a25b13b4bbc38e57eb8621645,RDT,Ethereum,BNB CHAIN,Ethereum,BNB CHAIN,620b8db6d3ea681f35ebe53f,620b8e30d3ea681f35ebe555,620b8ea3d3ea681f35ebe56c
10,0x3e972c4859a1fc8a25b13b4bbc38e57eb8621645,SWAP,Ethereum,BNB CHAIN,Ethereum,BNB CHAIN,620fa0839e1cf703a57a10f4,620fa4039e1cf703a57a1173,620fa43f9e1cf703a57a117c
