,Addresses,Token,Blockchain_1,Blockchain_2,Blockchain_3,Blockchain_4,TxID_1,TxID_2,TxID_3
0,0x8537307810fc40f4073a12a38554d4ff78efff41,USDC,Polygon,Avalanche,Polygon,BNB CHAIN,6211cdea9e1cf703a57a5e28,6211d6299e1cf703a57a5f2b,6211d8109e1cf703a57a5f61
1,0x1c94f4d7cf577ae410d8a80300af0377fbe6b222,BNB,Fantom,BNB CHAIN,Fantom,BNB CHAIN,620d07c6d3ea681f35ec2150,620d087cd3ea681f35ec2167,620d1435d3ea681f35ec23b9
2,0x3e972c4859a1fc8a25b13b4bbc38e57eb8621645,FABRIC,Ethereum,BNB CHAIN,Ethereum,BNB CHAIN,62134ec39e1cf703a57a9587,62134eff9e1cf703a57a9598,62134f789e1cf703a57a95bc
3,0x3e972c4859a1fc8a25b13b4bbc38e57eb8621645,RDT,Ethereum,BNB CHAIN,Ethereum,BNB CHAIN,620b8db6d3ea681f35ebe53f,620b8e30d3ea681f35ebe555,620b8ea3d3ea681f35ebe56c
4,0x3e972c4859a1fc8a25b13b4bbc38e57eb8621645,SWAP,Ethereum,BNB CHAIN,Ethereum,BNB CHAIN,620fa0839e1cf703a57a10f4,620fa4039e1cf703a57a1173,620fa43f9e1cf703a57a117c
5,0x3e972c4859a1fc8a25b13b4bbc38e57eb8621645,SWAP,BNB CHAIN,Ethereum,BNB CHAIN,Ethereum,620fa4039e1cf703a57a1173,620fa43f9e1cf703a57a117c,620fa4b99e1cf703a57a118e
6,0x3e972c4859a1fc8a25b13b4bbc38e57eb8621645,INV,Fantom,Ethereum,Fantom,Ethereum,6210cc889e1cf703a57a3992,6210cd019e1cf703a57a39a3,6210cd3e9e1cf703a57a39aa
7,0x67ebc532d648e6164a6fd726ff0b39e69180dafe,USDT,BNB CHAIN,Polygon,BNB CHAIN,Polygon,620b7ff7854f936fad89670b,620b840f854f936fad896886,620b8466854f936fad89689a
8,0x67ebc532d648e6164a6fd726ff0b39e69180dafe,DERC,Polygon,BNB CHAIN,Polygon,BNB CHAIN,620a078a854f936fad88be25,620a08cd854f936fad88be8a,620a102d854f936fad88bfc3
9,0x67ebc532d648e6164a6fd726ff0b39e69180dafe,DERC,BNB CHAIN,Polygon,BNB CHAIN,Polygon,620a08cd854f936fad88be8a,620a102d854f936fad88bfc3,620a1160854f936fad88bff7
