,Addresses,Token,Blockchain_1,Blockchain_2,Blockchain_3,Blockchain_4,Blockchain_5,Blockchain_6,TxID_1,TxID_2,TxID_3,TxID_4,TxID_5
0,0x9db3f57cc9069dd4307b6a73a752f08fb82f988c,USDC,Avalanche,Fantom,BNB CHAIN,Fantom,Avalanche,Fantom,62113bdd9e1cf703a57a4bc9,62116a189e1cf703a57a5287,6211d7959e1cf703a57a5f56,6211d7d39e1cf703a57a5f5b,6211ea4a9e1cf703a57a624a
1,0x9db3f57cc9069dd4307b6a73a752f08fb82f988c,USDC,Fantom,BNB CHAIN,Fantom,Avalanche,Fantom,BNB CHAIN,62116a189e1cf703a57a5287,6211d7959e1cf703a57a5f56,6211d7d39e1cf703a57a5f5b,6211ea4a9e1cf703a57a624a,6211eb039e1cf703a57a625d
2,0x1c94f4d7cf577ae410d8a80300af0377fbe6b222,BNB,Fantom,BNB CHAIN,Fantom,BNB CHAIN,Fantom,BNB CHAIN,620cdc36d3ea681f35ec1abc,620cf2ead3ea681f35ec1dc9,620d07c6d3ea681f35ec2150,620d087cd3ea681f35ec2167,620d1435d3ea681f35ec23b9
3,0x3e972c4859a1fc8a25b13b4bbc38e57eb8621645,FABRIC,Ethereum,BNB CHAIN,Ethereum,BNB CHAIN,Ethereum,BNB CHAIN,6212eb229e1cf703a57a8a5d,6212eb9c9e1cf703a57a8a73,62134ec39e1cf703a57a9587,62134eff9e1cf703a57a9598,62134f789e1cf703a57a95bc
4,0x67ebc532d648e6164a6fd726ff0b39e69180dafe,DERC,Ethereum,Polygon,BNB CHAIN,Polygon,BNB CHAIN,Polygon,6209926d2219a24b7e94c895,620a078a854f936fad88be25,620a08cd854f936fad88be8a,620a102d854f936fad88bfc3,620a1160854f936fad88bff7
5,0x8039f3aa709fec29fdc5f075449b23ab609a6998,USDT,Fantom,BNB CHAIN,Fantom,BNB CHAIN,Fantom,BNB CHAIN,620a8b72d3ea681f35ebbf50,620aad39d3ea681f35ebc494,620afe4ed3ea681f35ebd043,620b3297d3ea681f35ebd76f,620b4c61d3ea681f35ebdaf9
6,0xac569e0f62c7cbbb987518692aae056a0ae1dd18,DAI,Polygon,Fantom,Polygon,Fantom,Polygon,Fantom,620adf18d3ea681f35ebcc07,620af5a9d3ea681f35ebcf1a,620b0c5cd3ea681f35ebd232,620b307cd3ea681f35ebd730,620bce6fd3ea681f35ebf0f8
7,0x30cb2c51fc4f031fa5f326d334e1f5da00e19ab5,ALPACA,BNB CHAIN,Fantom,BNB CHAIN,Fantom,BNB CHAIN,Fantom,620e84a762d48eee70ee318c,620e899962d48eee70ee340b,620e8a2762d48eee70ee3443,620e8b0362d48eee70ee34b2,620e8ef362d48eee70ee36cf
8,0x876cf8dcb8262398885bb2e1fb025fb2c1756164,USDC,Avalanche,BNB CHAIN,Avalanche,BNB CHAIN,Avalanche,Fantom,620f681711d45e0a4966ee8e,620f8f5811d45e0a4966fb60,620ff54311d45e0a49673089,6210182c11d45e0a4967389d,6210b1ee11d45e0a49677072
9,0xb324a5c8e61dba2a4a03a053f8c42629a0226d56,USDC,BNB CHAIN,Fantom,Polygon,BNB CHAIN,Polygon,Fantom,620d1a8a3c8253c5fb8b90a8,620d1be33c8253c5fb8b915f,620d20b43c8253c5fb8b92aa,620d2afa3c8253c5fb8b9470,620d2cd43c8253c5fb8b94c5
10,0xeaff63f297b2947eb3a422c273b87b4f8f96bf57,MIM,Avalanche,BNB CHAIN,Avalanche,BNB CHAIN,Avalanche,BNB CHAIN,620bdf93854f936fad898ebb,620bea85854f936fad899196,620bf14d854f936fad8992f9,620c7c50854f936fad89c7f1,620c959426b3d8ba9857cedc
11,0xeaff63f297b2947eb3a422c273b87b4f8f96bf57,MIM,BNB CHAIN,Avalanche,BNB CHAIN,Avalanche,BNB CHAIN,Avalanche,620bea85854f936fad899196,620bf14d854f936fad8992f9,620c7c50854f936fad89c7f1,620c959426b3d8ba9857cedc,620d24883c8253c5fb8b9375
12,0xfff50a8e6aae5a0195845a860da58a904b006cea,USDC,BNB CHAIN,Fantom,BNB CHAIN,Fantom,BNB CHAIN,Fantom,620cb687d3ea681f35ec1591,620cffe3d3ea681f35ec1fb9,620d4495d3ea681f35ec2c25,620dc971d3ea681f35ec4110,620df20fdcf15fd1a427fa57
13,0x35bfae7048f9c1543b427db1726ef9123b24e5fb,USDT,BNB CHAIN,Fantom,BNB CHAIN,Fantom,BNB CHAIN,Fantom,620f934711d45e0a4966fc29,620fc4fa11d45e0a49670de2,6210490711d45e0a49674cff,62109a7411d45e0a49676c89,6211206811d45e0a49679a0a
14,0xca229c7f46d5b3c44e0c8d28f1d21f74ad4af333,USDT,BNB CHAIN,Avalanche,BNB CHAIN,Avalanche,BNB CHAIN,Avalanche,620f919811d45e0a4966fbe9,620fa01911d45e0a4966ff11,6210185711d45e0a496738ad,62101aa211d45e0a49673973,62109d4411d45e0a49676d0b
15,0xca229c7f46d5b3c44e0c8d28f1d21f74ad4af333,USDT,Avalanche,BNB CHAIN,Avalanche,BNB CHAIN,Avalanche,BNB CHAIN,620fa01911d45e0a4966ff11,6210185711d45e0a496738ad,62101aa211d45e0a49673973,62109d4411d45e0a49676d0b,6210a25611d45e0a49676de3
16,0xca229c7f46d5b3c44e0c8d28f1d21f74ad4af333,USDT,BNB CHAIN,Avalanche,BNB CHAIN,Avalanche,BNB CHAIN,Avalanche,6210185711d45e0a496738ad,62101aa211d45e0a49673973,62109d4411d45e0a49676d0b,6210a25611d45e0a49676de3,621107cd11d45e0a49679241
17,0x34fba918ede406876e452df0ce75ffb9b6b3aca3,DAI,Avalanche,Fantom,Polygon,BNB CHAIN,Polygon,BNB CHAIN,620a45cf854f936fad88cab4,620a53fc854f936fad88cd15,620ad261854f936fad892f1d,620ae0b7854f936fad893dc5,620b6d58854f936fad896351
18,0x34fba918ede406876e452df0ce75ffb9b6b3aca3,DAI,Fantom,Polygon,BNB CHAIN,Polygon,BNB CHAIN,Avalanche,620a53fc854f936fad88cd15,620ad261854f936fad892f1d,620ae0b7854f936fad893dc5,620b6d58854f936fad896351,620bba91854f936fad8979f9
19,0x34fba918ede406876e452df0ce75ffb9b6b3aca3,DAI,Polygon,BNB CHAIN,Polygon,BNB CHAIN,Avalanche,Fantom,620ad261854f936fad892f1d,620ae0b7854f936fad893dc5,620b6d58854f936fad896351,620bba91854f936fad8979f9,620beeb5854f936fad89926d
20,0x34fba918ede406876e452df0ce75ffb9b6b3aca3,DAI,BNB CHAIN,Polygon,BNB CHAIN,Avalanche,Fantom,BNB CHAIN,620ae0b7854f936fad893dc5,620b6d58854f936fad896351,620bba91854f936fad8979f9,620beeb5854f936fad89926d,620c074f854f936fad89973b
21,0x34fba918ede406876e452df0ce75ffb9b6b3aca3,DAI,Polygon,BNB CHAIN,Avalanche,Fantom,BNB CHAIN,Fantom,620b6d58854f936fad896351,620bba91854f936fad8979f9,620beeb5854f936fad89926d,620c074f854f936fad89973b,620c323b854f936fad89a185
22,0x34fba918ede406876e452df0ce75ffb9b6b3aca3,DAI,BNB CHAIN,Avalanche,Fantom,BNB CHAIN,Fantom,Polygon,620bba91854f936fad8979f9,620beeb5854f936fad89926d,620c074f854f936fad89973b,620c323b854f936fad89a185,620cd1501ddd18c557e91d13
23,0x0b368fbdcf7e0042614af02b446e11061fd93084,MIM,Avalanche,Fantom,BNB CHAIN,Fantom,Avalanche,Fantom,620fb8e09e1cf703a57a1511,620fb91e9e1cf703a57a151a,620fcbe29e1cf703a57a18aa,620fe9b49e1cf703a57a1dee,621053699e1cf703a57a2b8a
24,0x0b368fbdcf7e0042614af02b446e11061fd93084,MIM,Fantom,BNB CHAIN,Fantom,Avalanche,Fantom,Avalanche,620fb91e9e1cf703a57a151a,620fcbe29e1cf703a57a18aa,620fe9b49e1cf703a57a1dee,621053699e1cf703a57a2b8a,62106ff29e1cf703a57a2f00
