,Addresses,Token,Blockchain_1,Blockchain_2,Blockchain_3,Blockchain_4,Blockchain_5,Blockchain_6,Blockchain_7,TxID_1,TxID_2,TxID_3,TxID_4,TxID_5,TxID_6
0,0x9db3f57cc9069dd4307b6a73a752f08fb82f988c,USDC,Avalanche,Fantom,BNB CHAIN,Fantom,Avalanche,Fantom,BNB CHAIN,62113bdd9e1cf703a57a4bc9,62116a189e1cf703a57a5287,6211d7959e1cf703a57a5f56,6211d7d39e1cf703a57a5f5b,6211ea4a9e1cf703a57a624a,6211eb039e1cf703a57a625d
1,0xac569e0f62c7cbbb987518692aae056a0ae1dd18,DAI,Polygon,Fantom,Polygon,Fantom,Polygon,Fantom,Polygon,620adf18d3ea681f35ebcc07,620af5a9d3ea681f35ebcf1a,620b0c5cd3ea681f35ebd232,620b307cd3ea681f35ebd730,620bce6fd3ea681f35ebf0f8,620c9745d3ea681f35ec1195
2,0xb9b9161c6440353d30e06f6a3f93cd43bd1e3907,USDT,Fantom,BNB CHAIN,Avalanche,BNB CHAIN,Avalanche,BNB CHAIN,Avalanche,620e100adcf15fd1a427fdde,620e3195dcf15fd1a4280225,620ef90bdcf15fd1a4282178,620f716d9e1cf703a57a0a1e,620f71ea9e1cf703a57a0a33,620fac869e1cf703a57a1294
3,0xeaff63f297b2947eb3a422c273b87b4f8f96bf57,MIM,Avalanche,BNB CHAIN,Avalanche,BNB CHAIN,Avalanche,BNB CHAIN,Avalanche,620bdf93854f936fad898ebb,620bea85854f936fad899196,620bf14d854f936fad8992f9,620c7c50854f936fad89c7f1,620c959426b3d8ba9857cedc,620d24883c8253c5fb8b9375
4,0xca229c7f46d5b3c44e0c8d28f1d21f74ad4af333,USDT,BNB CHAIN,Avalanche,BNB CHAIN,Avalanche,BNB CHAIN,Avalanche,BNB CHAIN,620f919811d45e0a4966fbe9,620fa01911d45e0a4966ff11,6210185711d45e0a496738ad,62101aa211d45e0a49673973,62109d4411d45e0a49676d0b,6210a25611d45e0a49676de3
5,0xca229c7f46d5b3c44e0c8d28f1d21f74ad4af333,USDT,Avalanche,BNB CHAIN,Avalanche,BNB CHAIN,Avalanche,BNB CHAIN,Avalanche,620fa01911d45e0a4966ff11,6210185711d45e0a496738ad,62101aa211d45e0a49673973,62109d4411d45e0a49676d0b,6210a25611d45e0a49676de3,621107cd11d45e0a49679241
6,0x34fba918ede406876e452df0ce75ffb9b6b3aca3,DAI,Avalanche,Fantom,Polygon,BNB CHAIN,Polygon,BNB CHAIN,Avalanche,620a45cf854f936fad88cab4,620a53fc854f936fad88cd15,620ad261854f936fad892f1d,620ae0b7854f936fad893dc5,620b6d58854f936fad896351,620bba91854f936fad8979f9
7,0x34fba918ede406876e452df0ce75ffb9b6b3aca3,DAI,Fantom,Polygon,BNB CHAIN,Polygon,BNB CHAIN,Avalanche,Fantom,620a53fc854f936fad88cd15,620ad261854f936fad892f1d,620ae0b7854f936fad893dc5,620b6d58854f936fad896351,620bba91854f936fad8979f9,620beeb5854f936fad89926d
8,0x34fba918ede406876e452df0ce75ffb9b6b3aca3,DAI,Polygon,BNB CHAIN,Polygon,BNB CHAIN,Avalanche,Fantom,BNB CHAIN,620ad261854f936fad892f1d,620ae0b7854f936fad893dc5,620b6d58854f936fad896351,620bba91854f936fad8979f9,620beeb5854f936fad89926d,620c074f854f936fad89973b
9,0x34fba918ede406876e452df0ce75ffb9b6b3aca3,DAI,BNB CHAIN,Polygon,BNB CHAIN,Avalanche,Fantom,BNB CHAIN,Fantom,620ae0b7854f936fad893dc5,620b6d58854f936fad896351,620bba91854f936fad8979f9,620beeb5854f936fad89926d,620c074f854f936fad89973b,620c323b854f936fad89a185
10,0x34fba918ede406876e452df0ce75ffb9b6b3aca3,DAI,Polygon,BNB CHAIN,Avalanche,Fantom,BNB CHAIN,Fantom,Polygon,620b6d58854f936fad896351,620bba91854f936fad8979f9,620beeb5854f936fad89926d,620c074f854f936fad89973b,620c323b854f936fad89a185,620cd1501ddd18c557e91d13
11,0x0b368fbdcf7e0042614af02b446e11061fd93084,MIM,Avalanche,Fantom,BNB CHAIN,Fantom,Avalanche,Fantom,Avalanche,620fb8e09e1cf703a57a1511,620fb91e9e1cf703a57a151a,620fcbe29e1cf703a57a18aa,620fe9b49e1cf703a57a1dee,621053699e1cf703a57a2b8a,62106ff29e1cf703a57a2f00
12,0xe0c1efcfe9eddcddf20f476473aa1db95bfd62bb,YOSHI,BNB CHAIN,Fantom,BNB CHAIN,Fantom,BNB CHAIN,Fantom,BNB CHAIN,620b78c3854f936fad8965d1,620c6295854f936fad89bc85,620cb55726b3d8ba9857db66,620d0a663c8253c5fb8b8b89,620df3399e7d5ed1f4f40c13,620e2ec362d48eee70edf59b
13,0xcada38b3d2e3d8714e783ae8c420b4024817e3e8,USDC,Polygon,BNB CHAIN,Polygon,BNB CHAIN,Polygon,BNB CHAIN,Polygon,620b5de7854f936fad895d64,620b6000854f936fad895eb9,620b618c854f936fad895f8d,620b6357854f936fad896077,620c5732854f936fad89b3b0,620c5986854f936fad89b53f
14,0xcada38b3d2e3d8714e783ae8c420b4024817e3e8,USDC,BNB CHAIN,Polygon,BNB CHAIN,Polygon,BNB CHAIN,Polygon,BNB CHAIN,620b6000854f936fad895eb9,620b618c854f936fad895f8d,620b6357854f936fad896077,620c5732854f936fad89b3b0,620c5986854f936fad89b53f,620c5c91854f936fad89b774
15,0xcada38b3d2e3d8714e783ae8c420b4024817e3e8,USDC,Polygon,BNB CHAIN,Polygon,BNB CHAIN,Polygon,BNB CHAIN,Polygon,620b618c854f936fad895f8d,620b6357854f936fad896077,620c5732854f936fad89b3b0,620c5986854f936fad89b53f,620c5c91854f936fad89b774,620c5e47854f936fad89b90d
