,Addresses,Token,Blockchain_1,Blockchain_2,Blockchain_3,Blockchain_4,TxID_1,TxID_2,TxID_3
0,0xcdb549d3c5cbe0ffbb838e67529bf6cbffa75fe1,BIFI,BNB CHAIN,Fantom,BNB CHAIN,Polygon,621230c211d45e0a4968745d,6212528c9e1cf703a57a72d8,6212569e11d45e0a49688f03
1,0xcdb549d3c5cbe0ffbb838e67529bf6cbffa75fe1,ALPACA,BNB CHAIN,Fantom,BNB CHAIN,Fantom,620f712811d45e0a4966f298,620f801311d45e0a4966f70a,620f866a11d45e0a4966f875
2,0x2b42affd4b7c14d9b7c2579229495c052672ccd3,USDC,Fantom,BNB CHAIN,Fantom,Polygon,62093482d3ea681f35eb8cdf,62093c07d3ea681f35eb8e2b,6209487bd3ea681f35eb9073
3,0x8537307810fc40f4073a12a38554d4ff78efff41,USDC,Polygon,Avalanche,Polygon,BNB CHAIN,6211cdea9e1cf703a57a5e28,6211d6299e1cf703a57a5f2b,6211d8109e1cf703a57a5f61
4,0x8537307810fc40f4073a12a38554d4ff78efff41,USDT,Polygon,Avalanche,Polygon,Fantom,620bb388d3ea681f35ebebcf,620bf8e2d3ea681f35ebf934,620c0888d3ea681f35ebfbd7
5,0x9db3f57cc9069dd4307b6a73a752f08fb82f988c,USDC,BNB CHAIN,Fantom,Avalanche,Fantom,6211d7959e1cf703a57a5f56,6211d7d39e1cf703a57a5f5b,6211ea4a9e1cf703a57a624a
6,0x9db3f57cc9069dd4307b6a73a752f08fb82f988c,USDC,Fantom,Avalanche,Fantom,BNB CHAIN,6211d7d39e1cf703a57a5f5b,6211ea4a9e1cf703a57a624a,6211eb039e1cf703a57a625d
7,0x4423ac71f53ca92e2f2be5917a9c2468e7412f4a,FXS,BNB CHAIN,Polygon,BNB CHAIN,Polygon,62115f3311d45e0a4967e63c,6211849a11d45e0a49681a19,6211d3d711d45e0a49685dd3
8,0x1c94f4d7cf577ae410d8a80300af0377fbe6b222,BNB,Fantom,BNB CHAIN,Fantom,BNB CHAIN,620cdc36d3ea681f35ec1abc,620cf2ead3ea681f35ec1dc9,620d07c6d3ea681f35ec2150
9,0x1c94f4d7cf577ae410d8a80300af0377fbe6b222,BNB,BNB CHAIN,Fantom,BNB CHAIN,Fantom,620cf2ead3ea681f35ec1dc9,620d07c6d3ea681f35ec2150,620d087cd3ea681f35ec2167
10,0x1c94f4d7cf577ae410d8a80300af0377fbe6b222,BNB,Fantom,BNB CHAIN,Fantom,BNB CHAIN,620d07c6d3ea681f35ec2150,620d087cd3ea681f35ec2167,620d1435d3ea681f35ec23b9
11,0x7fa13526c6b6513d2599c4b6083ba4efe97950b8,MIM,Fantom,Avalanche,Fantom,Avalanche,620f26636e600401c2649c9a,620f29606e600401c2649d00,620f50239e1cf703a57a05e9
12,0xbd9e8e2bad7c6bb4dd6d8910c317d04eb5c6c618,USDC,Fantom,Polygon,BNB CHAIN,Polygon,6209b0f7d3ea681f35eba10e,6209c5c12219a24b7e94d308,6209f02f854f936fad88b923
13,0xbd9e8e2bad7c6bb4dd6d8910c317d04eb5c6c618,USDC,Polygon,BNB CHAIN,Polygon,Avalanche,6209c5c12219a24b7e94d308,6209f02f854f936fad88b923,620a14f4854f936fad88c065
14,0x3e972c4859a1fc8a25b13b4bbc38e57eb8621645,BIFI,BNB CHAIN,Avalanche,BNB CHAIN,Fantom,620c77a2d3ea681f35ec0d63,620c77dfd3ea681f35ec0d6f,620cbee7d3ea681f35ec16a8
15,0x3e972c4859a1fc8a25b13b4bbc38e57eb8621645,FABRIC,Ethereum,BNB CHAIN,Ethereum,BNB CHAIN,62134ec39e1cf703a57a9587,62134eff9e1cf703a57a9598,62134f789e1cf703a57a95bc
16,0x3e972c4859a1fc8a25b13b4bbc38e57eb8621645,RDT,Ethereum,BNB CHAIN,Ethereum,BNB CHAIN,620b8db6d3ea681f35ebe53f,620b8e30d3ea681f35ebe555,620b8ea3d3ea681f35ebe56c
17,0x3e972c4859a1fc8a25b13b4bbc38e57eb8621645,SWAP,Ethereum,BNB CHAIN,Ethereum,BNB CHAIN,620fa0839e1cf703a57a10f4,620fa4039e1cf703a57a1173,620fa43f9e1cf703a57a117c
18,0x3e972c4859a1fc8a25b13b4bbc38e57eb8621645,SWAP,BNB CHAIN,Ethereum,BNB CHAIN,Ethereum,620fa4039e1cf703a57a1173,620fa43f9e1cf703a57a117c,620fa4b99e1cf703a57a118e
19,0x3e972c4859a1fc8a25b13b4bbc38e57eb8621645,UMAD,Ethereum,BNB CHAIN,Ethereum,BNB CHAIN,620fe2d89e1cf703a57a1ca1,620ffef99e1cf703a57a2125,621000229e1cf703a57a214e
20,0x3e972c4859a1fc8a25b13b4bbc38e57eb8621645,INV,Fantom,Ethereum,Fantom,Ethereum,6210cc889e1cf703a57a3992,6210cd019e1cf703a57a39a3,6210cd3e9e1cf703a57a39aa
21,0x67ebc532d648e6164a6fd726ff0b39e69180dafe,USDT,Polygon,BNB CHAIN,Polygon,BNB CHAIN,620b2ed7854f936fad894d9b,620b7ff7854f936fad89670b,620b840f854f936fad896886
22,0x67ebc532d648e6164a6fd726ff0b39e69180dafe,USDT,BNB CHAIN,Polygon,BNB CHAIN,Polygon,620b7ff7854f936fad89670b,620b840f854f936fad896886,620b8466854f936fad89689a
23,0x67ebc532d648e6164a6fd726ff0b39e69180dafe,DERC,Polygon,BNB CHAIN,Polygon,BNB CHAIN,620a078a854f936fad88be25,620a08cd854f936fad88be8a,620a102d854f936fad88bfc3
24,0x67ebc532d648e6164a6fd726ff0b39e69180dafe,DERC,BNB CHAIN,Polygon,BNB CHAIN,Polygon,620a08cd854f936fad88be8a,620a102d854f936fad88bfc3,620a1160854f936fad88bff7
25,0x67ebc532d648e6164a6fd726ff0b39e69180dafe,ETH,Avalanche,Fantom,Polygon,Fantom,620a2d72854f936fad88c6ae,620a2cdd854f936fad88c6a1,620a2dc2854f936fad88c6b6
26,0x67ebc532d648e6164a6fd726ff0b39e69180dafe,ICE,Ethereum,Polygon,Ethereum,Fantom,620fc15911d45e0a49670c71,620fc4ea11d45e0a49670ddc,620fe14c11d45e0a49671fbf
27,0x67ebc532d648e6164a6fd726ff0b39e69180dafe,MLT,BNB CHAIN,Ethereum,BNB CHAIN,Ethereum,620a8078854f936fad88df19,620a80dc854f936fad88df4a,620a817d854f936fad88df9a
28,0x67ebc532d648e6164a6fd726ff0b39e69180dafe,FABRIC,BNB CHAIN,Ethereum,BNB CHAIN,Ethereum,620ab771854f936fad890ecd,620ab7f5854f936fad890f7e,620ab8ad854f936fad891079
29,0x8039f3aa709fec29fdc5f075449b23ab609a6998,USDT,Fantom,BNB CHAIN,Fantom,BNB CHAIN,620a8b72d3ea681f35ebbf50,620aad39d3ea681f35ebc494,620afe4ed3ea681f35ebd043
30,0x8039f3aa709fec29fdc5f075449b23ab609a6998,USDT,BNB CHAIN,Fantom,BNB CHAIN,Fantom,620aad39d3ea681f35ebc494,620afe4ed3ea681f35ebd043,620b3297d3ea681f35ebd76f
31,0x8039f3aa709fec29fdc5f075449b23ab609a6998,USDT,Fantom,BNB CHAIN,Fantom,BNB CHAIN,620afe4ed3ea681f35ebd043,620b3297d3ea681f35ebd76f,620b4c61d3ea681f35ebdaf9
32,0x8039f3aa709fec29fdc5f075449b23ab609a6998,ALPACA,Fantom,BNB CHAIN,Fantom,BNB CHAIN,620ecd6bdcf15fd1a4281b70,620edb03dcf15fd1a4281d5e,620ee605dcf15fd1a4281edd
33,0xac569e0f62c7cbbb987518692aae056a0ae1dd18,DAI,Polygon,Fantom,Polygon,Fantom,620adf18d3ea681f35ebcc07,620af5a9d3ea681f35ebcf1a,620b0c5cd3ea681f35ebd232
